stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
34118,34118,20th St / Welton Station,Vehicles Travelling North,39.748163,-104.986671,,,1,,,0
33702,33702,Market Street Station,Vehicles Travelling North,39.75058,-104.997926,,,1,,,0
23056,23056,16th & Stout Station,Vehicles Travelling Southwest,39.746121,-104.992838,,,0,34115,,1
33723,33723,Yale Station,Vehicles Travelling North,39.668779,-104.927566,,,1,,,0
34004,34004,Dayton Station,Vehicles Travelling North,39.642743,-104.878433,,,0,33710,,1
33568,33568,Jeffco Government Center Station,Vehicles Travelling West,39.726394,-105.200985,,,0,34241,,1
34585,34585,Colfax Station,Vehicles Travelling North,39.740689,-104.826999,,,0,34682,,1
23047,23047,18th & California Station,Vehicles Travelling Northeast,39.746846,-104.989894,,,0,34116,,1
25433,25433,Pepsi Center / Elitch Gardens Station,Vehicles Travelling Southwest,39.748568,-105.009966,,,0,34110,,1
33727,33727,Union Station,Vehicles Travelling North,39.754338,-105.00214,,,1,,,0
33969,33969,Sheridan Station,Vehicles Travelling North,39.73495,-105.053108,,,0,34235,,1
33970,33970,Wadsworth Station,Vehicles Travelling East,39.736607,-105.080761,,,0,34237,,1
25990,25990,Arapahoe at Village Center Station,Vehicles Travelling South,39.600301,-104.888555,,,0,33705,,1
33703,33703,30th / Downing Station,Vehicles Travelling North,39.758977,-104.973786,,,1,,,0
23055,23055,18th & Stout Station,Vehicles Travelling Southwest,39.747997,-104.990429,,,0,34117,,1
34005,34005,Lincoln Station,Vehicles Travelling North,39.546353,-104.869622,,,0,33714,,1
34232,34232,Decatur-Federal Station,Vehicles Travelling North,39.737418,-105.024806,,,1,,,0
33968,33968,Sheridan Station,Vehicles Travelling South,39.734938,-105.053456,,,0,34235,,1
34467,34467,40th & Colorado Station Track 1,Vehicles Travelling East,39.776071,-104.942045,,,0,34500,,1
34507,34507,Clear Creek / Federal Station,Vehicles Travelling North,39.804819,-105.022624,,,1,,,0
25428,25428,Sports Authority Field at Mile High Station,Vehicles Travelling Northeast,39.743543,-105.013526,,,0,34111,,1
34472,34472,Peoria Station Track 2,Vehicles Travelling West,39.767654,-104.850903,,,0,34502,,1
34503,34503,Denver Airport Station,Vehicles Travelling North,39.847344,-104.673357,,,1,,,0
34561,34561,Westminster Station N-Bound,Vehicles Travelling North,39.823078,-105.029428,,,0,34549,,1
29104,29104,Theatre District / Convention Center Station,Vehicles Travelling North,39.743652,-104.997481,,,0,34113,,1
99850,99850,Downtown Boulder Station (Ar),Vehicles Travelling Southeast,40.017364,-105.276537,,,0,33700,,1
34234,34234,Perry Station,Vehicles Travelling North,39.734568,-105.040036,,,1,,,0
34706,34706,US 36 / McCaslin Station West Side,Vehicles Travelling South,39.957994,-105.168557,,,1,,,0
25980,25980,Colorado Station,Vehicles Travelling South,39.679672,-104.937714,,,0,33708,,1
33560,33560,Perry Station,Vehicles Travelling West,39.73479,-105.040409,,,0,34234,,1
34466,34466,38th & Blake Station Track 2,Vehicles Travelling West,39.770355,-104.974267,,,0,34684,,1
25884,25884,Theatre District/Convention Ctr Station,Vehicles Travelling South,39.743866,-104.996427,,,0,34113,,1
34116,34116,18th St / California Station,Vehicles Travelling North,39.746934,-104.98974,,,1,,,0
33709,33709,County Line Station,Vehicles Travelling North,39.561964,-104.870532,,,1,,,0
34583,34583,13th Ave Station,Vehicles Travelling North,39.735376,-104.823497,,,0,34681,,1
24888,24888,Oxford - City of Sheridan Station,Vehicles Travelling South,39.643408,-105.004413,,,0,33726,,1
33958,33958,Decatur / Federal Station,Vehicles Travelling East,39.737394,-105.023633,,,0,34232,,1
34469,34469,Central Park Station Track 1,Vehicles Travelling East,39.770555,-104.891099,,,0,34501,,1
34679,34679,Florida Station,Vehicles Travelling North,39.689917,-104.828099,,,1,,,0
23054,23054,20th & Welton Station,Vehicles Travelling Southwest,39.747879,-104.987032,,,0,34118,,1
34007,34007,Dry Creek Station,Vehicles Travelling North,39.579326,-104.876957,,,0,33711,,1
33967,33967,Sheridan Station,Vehicles Travelling East,39.735114,-105.052794,,,0,34235,,1
34259,34259,US 36 / Flatiron Station West Side,Vehicles Travelling South,39.93249,-105.123607,,,1,,,0
25978,25978,Southmoor Station,Vehicles Travelling South,39.648226,-104.9161,,,0,33721,,1
23051,23051,30th & Downing Station,Vehicles Travelling North,39.759213,-104.973456,,,0,33703,,1
34682,34682,Colfax Station,Vehicles Travelling North,39.74083,-104.826398,,,1,,,0
23205,23205,30th & Downing Station,Vehicles Travelling Northwest,39.759189,-104.973652,,,0,33703,,1
34109,34109,10th / Osage Station,Vehicles Travelling North,39.73215,-105.0055,,,1,,,0
23061,23061,I-25 & Broadway Station,Vehicles Travelling Southeast,39.701418,-104.990111,,,0,33686,,1
23043,23043,10th & Osage Station,Vehicles Travelling Northwest,39.732222,-105.005654,,,0,34109,,1
33745,33745,US 36 / Broomfield Station,Vehicles Travelling South,39.906436,-105.086374,,,1,,,0
35017,35017,Anschutz Shuttle Fitzsimons Station 2nd Pass,Vehicles Travelling West,39.754746,-104.840426,,,0,34683,,1
34465,34465,38th & Blake Station Track 1,Vehicles Travelling East,39.770931,-104.973337,,,0,34684,,1
33646,33646,Union Station,Vehicles Travelling Southeast,39.754207,-105.001786,,,0,33727,,1
34575,34575,Iliff Station,Vehicles Travelling South,39.672974,-104.827232,,,0,34677,,1
33686,33686,I-25 / Broadway Station,Vehicles Travelling North,39.701235,-104.98886,,,1,,,0
34582,34582,2nd & Abilene Station,Vehicles Travelling South,39.71895,-104.825879,,,0,34680,,1
33567,33567,Red Rocks Community College Station,Vehicles Travelling West,39.725078,-105.152812,,,0,34240,,1
34508,34508,Pecos Junction Station,Vehicles Travelling North,39.805421,-105.003505,,,1,,,0
23049,23049,25th & Welton Station,Vehicles Travelling Northeast,39.753528,-104.979493,,,0,34119,,1
34011,34011,Southmoor Station,Vehicles Travelling North,39.648971,-104.916439,,,0,33721,,1
33715,33715,Littleton / Downtown Station,Vehicles Travelling North,39.611904,-105.01521,,,1,,,0
34241,34241,Jefferson CO Government-Golden Station,Vehicles Travelling North,39.726354,-105.199734,,,1,,,0
34683,34683,Fitzsimons Station,Vehicles Travelling North,39.755018,-104.838018,,,1,,,0
34114,34114,16th St / California Station,Vehicles Travelling North,39.744864,-104.992508,,,1,,,0
34235,34235,Sheridan Station,Vehicles Travelling North,39.735028,-105.053634,,,1,,,0
34240,34240,Red Rocks College Station,Vehicles Travelling North,39.724954,-105.149955,,,1,,,0
25988,25988,County Line Station,Vehicles Travelling South,39.561818,-104.872282,,,0,33709,,1
33704,33704,Alameda Station,Vehicles Travelling North,39.70892,-104.992883,,,1,,,0
34667,34667,Union Station Track 1,Vehicles Travelling West,39.753269,-105.00108,,,0,33727,,1
25436,25436,Englewood Station,Vehicles Travelling South,39.655291,-105.000065,,,0,33712,,1
23046,23046,16th & California Station,Vehicles Travelling Northeast,39.744907,-104.992421,,,0,34114,,1
33735,33735,US 36 / Sheridan Station West Side,Vehicles Travelling South,39.856981,-105.054209,,,1,,,0
33737,33737,US 36 / Church Ranch Station East Side,Vehicles Travelling North,39.89013,-105.07321,,,1,,,0
33561,33561,Sheridan Station,Vehicles Travelling West,39.735147,-105.053616,,,0,34235,,1
23060,23060,Alameda Station,Vehicles Travelling Southeast,39.708196,-104.992785,,,0,33704,,1
25432,25432,Sports Authority Field at Mile High Station,Vehicles Travelling Southwest,39.743342,-105.012761,,,0,34111,,1
34014,34014,University of Denver Station,Vehicles Travelling North,39.685437,-104.965175,,,0,33722,,1
34502,34502,Peoria Station,Vehicles Travelling North,39.766094,-104.852057,,,1,,,0
